name,country,position
GUZMANNahuel1,Argentina,Goalkeeper
GabrielMERCADO2,Argentina,Defender
NicolasTAGLIAFICO3,Argentina,Defender
CristianANSALDI4,Argentina,Defender
LucasBIGLIA5,Argentina,Midfield
FedericoFAZIO6,Argentina,Defender
EverBANEGA7,Argentina,Midfield
MarcosACUNA8,Argentina,Defender
GonzaloHIGUAIN9,Argentina,Forward
LionelMESSI10,Argentina,Forward
AngelDI MARIA11,Argentina,Midfield
FrancoARMANI12,Argentina,Goalkeeper
MaximilianoMEZA13,Argentina,Midfield
JavierMASCHERANO14,Argentina,Defender
EnzoPEREZ15,Argentina,Midfield
MarcosROJO16,Argentina,Defender
NicolasOTAMENDI17,Argentina,Defender
EduardoSALVIO18,Argentina,Defender
SergioAGUERO19,Argentina,Forward
GiovaniLO CELSO20,Argentina,Midfield
PauloDYBALA21,Argentina,Forward
CristianPAVON22,Argentina,Midfield
WilfredoCABALLERO23,Argentina,Goalkeeper
MathewRYAN1,Australia,Goalkeeper
MilosDEGENEK2,Australia,Defender
JamesMEREDITH3,Australia,Defender
TimCAHILL4,Australia,Forward
MarkMILLIGAN5,Australia,Defender
MatthewJURMAN6,Australia,Defender
MathewLECKIE7,Australia,Forward
MassimoLUONGO8,Australia,Midfield
TomiJURIC9,Australia,Forward
RobbieKRUSE10,Australia,Forward
AndrewNABBOUT11,Australia,Forward
BradJONES12,Australia,Goalkeeper
AaronMOOY13,Australia,Midfield
JamieMacLAREN14,Australia,Forward
MileJEDINAK15,Australia,Midfield
AzizBEHICH16,Australia,Defender
DanielARZANI17,Australia,Forward
DannyVUKOVIC18,Australia,Goalkeeper
JoshuaRISDON19,Australia,Defender
TrentSAINSBURY20,Australia,Defender
DimitriosPETRATOS21,Australia,Forward
JacksonIRVINE22,Australia,Midfield
TomROGIC23,Australia,Midfield
ThibautCOURTOIS1,Belgium,Goalkeeper
TobyALDERWEIRELD2,Belgium,Defender
ThomasVERMAELEN3,Belgium,Defender
VincentKOMPANY4,Belgium,Defender
JanVERTONGHEN5,Belgium,Defender
AxelWITSEL6,Belgium,Midfield
KevinDE BRUYNE7,Belgium,Midfield
MarouaneFELLAINI8,Belgium,Midfield
RomeluLUKAKU9,Belgium,Forward
EdenHAZARD10,Belgium,Forward
YannickCARRASCO11,Belgium,Midfield
SimonMIGNOLET12,Belgium,Goalkeeper
KoenCASTEELS13,Belgium,Goalkeeper
DriesMERTENS14,Belgium,Forward
ThomasMEUNIER15,Belgium,Defender
ThorganHAZARD16,Belgium,Midfield
YouriTIELEMANS17,Belgium,Midfield
AdnanJANUZAJ18,Belgium,Forward
MoussaDEMBELE19,Belgium,Midfield
DedryckBOYATA20,Belgium,Defender
MichyBATSHUAYI21,Belgium,Forward
NacerCHADLI22,Belgium,Midfield
LeanderDENDONCKER23,Belgium,Defender
ALISSON1,Brazil,Goalkeeper
THIAGOSILVA2,Brazil,Defender
MIRANDA3,Brazil,Defender
PEDROGEROMEL4,Brazil,Defender
CASEMIRO5,Brazil,Midfield
FILIPELUIS6,Brazil,Defender
DOUGLASCOSTA7,Brazil,Forward
RENATOAUGUSTO8,Brazil,Midfield
GABRIELJESUS9,Brazil,Forward
NEYMAR10,Brazil,Forward
PHILIPPECOUTINHO11,Brazil,Midfield
MARCELO12,Brazil,Defender
MARQUINHOS13,Brazil,Defender
DANILO14,Brazil,Defender
PAULINHO15,Brazil,Midfield
CASSIO16,Brazil,Goalkeeper
FERNANDINHO17,Brazil,Midfield
FRED18,Brazil,Midfield
WILLIAN19,Brazil,Midfield
ROBERTOFIRMINO20,Brazil,Forward
TAISON21,Brazil,Forward
FAGNER22,Brazil,Defender
EDERSON23,Brazil,Goalkeeper
DavidOSPINA1,Colombia,Goalkeeper
CristianZAPATA2,Colombia,Defender
OscarMURILLO3,Colombia,Defender
SantiagoARIAS4,Colombia,Defender
WilmarBARRIOS5,Colombia,Midfield
CarlosSANCHEZ6,Colombia,Midfield
CarlosBACCA7,Colombia,Forward
AbelAGUILAR8,Colombia,Midfield
RadamelFALCAO9,Colombia,Forward
JamesRODRIGUEZ10,Colombia,Midfield
JuanCUADRADO11,Colombia,Midfield
CamiloVARGAS12,Colombia,Goalkeeper
YerryMINA13,Colombia,Defender
LuisMURIEL14,Colombia,Forward
MateusURIBE15,Colombia,Midfield
Jefferson LERMA16,Colombia,Midfield
JohanMOJICA17,Colombia,Defender
FaridDIAZ18,Colombia,Defender
MiguelBORJA19,Colombia,Forward
JuanQUINTERO20,Colombia,Midfield
JoseIZQUIERDO21,Colombia,Forward
JoseCUADRADO22,Colombia,Goalkeeper
DavinsonSANCHEZ23,Colombia,Defender
KeylorNAVAS1,Costa Rica,Goalkeeper
JohnnyACOSTA2,Costa Rica,Defender
GiancarloGONZALEZ3,Costa Rica,Defender
IanSMITH4,Costa Rica,Defender
CelsoBORGES5,Costa Rica,Midfield
OscarDUARTE6,Costa Rica,Defender
ChristianBOLANOS7,Costa Rica,Midfield
BryanOVIEDO8,Costa Rica,Defender
DanielCOLINDRES9,Costa Rica,Midfield
BryanRUIZ10,Costa Rica,Midfield
JohanVENEGAS11,Costa Rica,Forward
JoelCAMPBELL12,Costa Rica,Forward
RodneyWALLACE13,Costa Rica,Midfield
RandallAZOFEIFA14,Costa Rica,Midfield
FranciscoCALVO15,Costa Rica,Defender
CristianGAMBOA16,Costa Rica,Defender
YeltsinTEJEDA17,Costa Rica,Midfield
PatrickPEMBERTON18,Costa Rica,Goalkeeper
KendallWASTON19,Costa Rica,Defender
DavidGUZMAN20,Costa Rica,Midfield
MarcosURENA21,Costa Rica,Forward
KennerGUTIERREZ22,Costa Rica,Defender
LeonelMOREIRA23,Costa Rica,Goalkeeper
DominikLIVAKOVIC1,Croatia,Goalkeeper
SimeVRSALJKO2,Croatia,Defender
IvanSTRINIC3,Croatia,Defender
IvanPERISIC4,Croatia,Forward
VedranCORLUKA5,Croatia,Defender
DejanLOVREN6,Croatia,Defender
IvanRAKITIC7,Croatia,Midfield
MateoKOVACIC8,Croatia,Midfield
AndrejKRAMARIC9,Croatia,Forward
LukaMODRIC10,Croatia,Midfield
MarceloBROZOVIC11,Croatia,Midfield
LovreKALINIC12,Croatia,Goalkeeper
TinJEDVAJ13,Croatia,Defender
FilipBRADARIC14,Croatia,Midfield
DujeCALETA-CAR15,Croatia,Defender
NikolaKALINIC16,Croatia,Forward
MarioMANDZUKIC17,Croatia,Forward
AnteREBIC18,Croatia,Forward
MilanBADELJ19,Croatia,Midfield
MarkoPJACA20,Croatia,Forward
DomagojVIDA21,Croatia,Defender
JosipPIVARIC22,Croatia,Defender
DanijelSUBASIC23,Croatia,Goalkeeper
Kasper SCHMEICHEL1,Denmark,Goalkeeper
MichaelKROHN-DEHLI2,Denmark,Midfield
JannikVESTERGAARD3,Denmark,Defender
SimonKJAER4,Denmark,Defender
JonasKNUDSEN5,Denmark,Defender
AndreasCHRISTENSEN6,Denmark,Defender
WilliamKVIST7,Denmark,Midfield
ThomasDELANEY8,Denmark,Midfield
NicolaiJORGENSEN9,Denmark,Forward
ChristianERIKSEN10,Denmark,Midfield
MartinBRAITHWAITE11,Denmark,Forward
KasperDOLBERG12,Denmark,Forward
Mathias JORGENSEN13,Denmark,Defender
HenrikDALSGAARD14,Denmark,Defender
ViktorFISCHER15,Denmark,Forward
JonasLOSSL16,Denmark,Goalkeeper
JensStryger LARSEN17,Denmark,Defender
LukasLERAGER18,Denmark,Midfield
LasseSCHONE19,Denmark,Midfield
YussufYurary POULSEN20,Denmark,Forward
AndreasCORNELIUS21,Denmark,Forward
FrederikRONNOW22,Denmark,Goalkeeper
PioneSISTO23,Denmark,Forward
ESSAMELHADARY1,Egypt,Goalkeeper
ALIGABR2,Egypt,Defender
AHMEDELMOHAMADY3,Egypt,Defender
OMARGABER4,Egypt,Midfield
SAMMORSY5,Egypt,Midfield
AHMEDHEGAZY6,Egypt,Defender
AHMEDFATHI7,Egypt,Defender
TAREKHAMED8,Egypt,Midfield
MARWANMOHSEN9,Egypt,Forward
MOHAMEDSALAH10,Egypt,Forward
KAHRABA11,Egypt,Forward
AYMANASHRAF12,Egypt,Defender
MOHAMEDABDELSHAFY13,Egypt,Defender
RAMADANSOBHY14,Egypt,Forward
MAHMOUDHAMDY15,Egypt,Defender
SHERIFEKRAMY16,Egypt,Goalkeeper
MOHAMEDELNENY17,Egypt,Midfield
SHIKABALA18,Egypt,Forward
ABDALLASAID19,Egypt,Midfield
SAADSAMIR 20,Egypt,Defender
TREZIGUET21,Egypt,Midfield
AMRWARDA22,Egypt,Forward
MOHAMEDELSHENAWY23,Egypt,Goalkeeper
JordanPICKFORD1,England,Goalkeeper
KyleWALKER2,England,Defender
DannyROSE3,England,Defender
Eric DIER4,England,Midfield
JohnSTONES5,England,Defender
HarryMAGUIRE6,England,Defender
Jesse LINGARD7,England,Midfield
JordanHENDERSON8,England,Midfield
HarryKANE9,England,Forward
RaheemSTERLING10,England,Forward
JamieVARDY11,England,Forward
KieranTRIPPIER12,England,Defender
JackBUTLAND13,England,Goalkeeper
DannyWELBECK14,England,Forward
GaryCAHILL15,England,Defender
PhilJONES16,England,Defender
FabianDELPH17,England,Defender
Ashley YOUNG18,England,Defender
MarcusRASHFORD19,England,Forward
DeleALLI20,England,Midfield
RubenLOFTUS-CHEEK21,England,Midfield
TrentALEXANDER-ARNOLD22,England,Defender
NickPOPE23,England,Goalkeeper
HugoLLORIS1,France,Goalkeeper
PAVARDBenjamin2,France,Defender
PresnelKIMPEMBE3,France,Defender
RaphaelVARANE4,France,Defender
SamuelUMTITI5,France,Defender
PaulPOGBA6,France,Midfield
AntoineGRIEZMANN7,France,Forward
ThomasLEMAR8,France,Forward
OlivierGIROUD9,France,Forward
KylianMBAPPE10,France,Forward
OusmaneDEMBELE11,France,Forward
TOLISSOCorentin12,France,Midfield
NgoloKANTE13,France,Midfield
BlaiseMATUIDI14,France,Midfield
StevenNZONZI15,France,Midfield
SteveMANDANDA16,France,Goalkeeper
AdilRAMI17,France,Defender
NabilFEKIR18,France,Forward
DjibrilSIDIBE19,France,Defender
FlorianTHAUVIN20,France,Forward
HERNANDEZLucas21,France,Defender
BenjaminMENDY22,France,Defender
AlphonseAREOLA23,France,Goalkeeper
NEUERManuel1,Germany,Goalkeeper
MarvinPLATTENHARDT2,Germany,Defender
JonasHECTOR3,Germany,Defender
MatthiasGINTER4,Germany,Defender
MatsHUMMELS5,Germany,Defender
SamiKHEDIRA6,Germany,Midfield
JulianDRAXLER7,Germany,Midfield
ToniKROOS8,Germany,Midfield
TimoWERNER9,Germany,Forward
MesutOEZIL10,Germany,Midfield
MarcoREUS11,Germany,Forward
KevinTRAPP12,Germany,Goalkeeper
MUELLERThomas13,Germany,Midfield
GORETZKALeon14,Germany,Midfield
SUELENiklas15,Germany,Defender
AntonioRUEDIGER16,Germany,Defender
BOATENGJerome17,Germany,Defender
KIMMICHJoshua18,Germany,Defender
SebastianRUDY19,Germany,Midfield
JulianBRANDT20,Germany,Midfield
IlkayGUENDOGAN21,Germany,Midfield
Marc-AndreTER STEGEN22,Germany,Goalkeeper
MarioGOMEZ23,Germany,Forward
HannesHALLDORSSON1,Iceland,Goalkeeper
BirkirSAEVARSSON2,Iceland,Defender
SamuelFRIDJONSSON3,Iceland,Midfield
AlbertGUDMUNDSSON4,Iceland,Midfield
SverrirINGASON5,Iceland,Defender
RagnarSIGURDSSON6,Iceland,Defender
JohannGUDMUNDSSON7,Iceland,Midfield
BirkirBJARNASON8,Iceland,Midfield
BjornSIGURDARSON9,Iceland,Forward
GylfiSIGURDSSON10,Iceland,Midfield
AlfredFINNBOGASON11,Iceland,Forward
FrederikSCHRAM12,Iceland,Goalkeeper
RunarRUNARSSON13,Iceland,Goalkeeper
KariARNASON14,Iceland,Defender
HolmarEYJOLFSSON15,Iceland,Defender
OlafurSKULASON16,Iceland,Midfield
AronGUNNARSSON17,Iceland,Midfield
HordurMAGNUSSON18,Iceland,Defender
RurikGISLASON19,Iceland,Midfield
EmilHALLFREDSSON20,Iceland,Midfield
ArnorTRAUSTASON21,Iceland,Midfield
JonBODVARSSON22,Iceland,Forward
AriSKULASON23,Iceland,Defender
AliBEIRANVAND1,IR Iran,Goalkeeper
MahdiTORABI2,IR Iran,Midfield
EhsanHAJI SAFI3,IR Iran,Defender
RoozbehCHESHMI4,IR Iran,Defender
MiladMOHAMMADI5,IR Iran,Defender
SaeidEZATOLAHI6,IR Iran,Midfield
MasoudSHOJAEI7,IR Iran,Midfield
MortezaPOURALIGANJI8,IR Iran,Defender
OmidEBRAHIMI9,IR Iran,Midfield
KarimANSARIFARD10,IR Iran,Forward
VahidAMIRI11,IR Iran,Midfield
RashidMAZAHERI12,IR Iran,Goalkeeper
MohammadReza KHANZADEH13,IR Iran,Defender
SamanGHODDOS14,IR Iran,Forward
PejmanMONTAZERI15,IR Iran,Defender
RezaGHOOCHANNEJHAD16,IR Iran,Forward
MehdiTAREMI17,IR Iran,Forward
AlirezaJAHANBAKHSH18,IR Iran,Forward
MajidHOSSEINI19,IR Iran,Defender
SardarAZMOUN20,IR Iran,Forward
AshkanDEJAGAH21,IR Iran,Forward
AmirABEDZADEH22,IR Iran,Goalkeeper
RaminREZAEIAN23,IR Iran,Defender
EijiKAWASHIMA1,Japan,Goalkeeper
NaomichiUEDA2,Japan,Defender
GenSHOJI3,Japan,Defender
KeisukeHONDA4,Japan,Midfield
YutoNAGATOMO5,Japan,Defender
WataruENDO6,Japan,Defender
GakuSHIBASAKI7,Japan,Midfield
GenkiHARAGUCHI8,Japan,Midfield
ShinjiOKAZAKI9,Japan,Forward
ShinjiKAGAWA10,Japan,Midfield
TakashiUSAMI11,Japan,Midfield
MasaakiHIGASHIGUCHI12,Japan,Goalkeeper
YoshinoriMUTO13,Japan,Forward
TakashiINUI14,Japan,Midfield
YuyaOSAKO15,Japan,Forward
HotaruYAMAGUCHI16,Japan,Midfield
MakotoHASEBE17,Japan,Midfield
RyotaOHSHIMA18,Japan,Midfield
HirokiSAKAI19,Japan,Defender
TomoakiMAKINO20,Japan,Defender
GotokuSAKAI21,Japan,Defender
MayaYOSHIDA22,Japan,Defender
KosukeNAKAMURA23,Japan,Goalkeeper
KIMSeunggyu1,Korea Republic,Goalkeeper
LEEYong2,Korea Republic,Defender
JUNGSeunghyun3,Korea Republic,Defender
OHBansuk4,Korea Republic,Defender
YUNYoungsun5,Korea Republic,Defender
PARKJooho6,Korea Republic,Defender
SONHeungmin7,Korea Republic,Forward
JUSejong8,Korea Republic,Midfield
KIMShinwook9,Korea Republic,Forward
LEESeungwoo10,Korea Republic,Midfield
HWANGHeechan11,Korea Republic,Forward
KIMMinwoo12,Korea Republic,Defender
KOOJacheol13,Korea Republic,Midfield
HONGChul14,Korea Republic,Defender
JUNGWooyoung15,Korea Republic,Midfield
KISungyueng16,Korea Republic,Midfield
LEEJaesung17,Korea Republic,Midfield
MOONSeonmin18,Korea Republic,Midfield
KIMYounggwon19,Korea Republic,Defender
JANGHyunsoo20,Korea Republic,Defender
KIMJinhyeon21,Korea Republic,Goalkeeper
